name,hex,rgb,cmyk,description
Vermilion,#7E191B,"(126, 25, 27)","(0, 80, 79, 51)","['This is a rustic brownish-red color, but it is not warm-toned. It has blue undertones and is, therefore, cool-toned. This is an excellent color to use for interior decorating and to cool down a warm tan or golden brown.']"
Raspberry,#D21F3C,"(210, 31, 60)","(0, 85, 71, 18)","['This is a blush red that is medium-toned and very attractive in any room, website, or clothing manufacturing. Even though it is technically a warm blush color, it has enough blue drops in it to make it fairly neutral.']"
Candy Apple,#FF0800,"(255, 8, 0)","(0, 97, 100, 0)","['This bright, warm red has orange undertones. It is perfect for boy’s toys, sports car colors, and autumn decorations. For clothing colors, it is great for people with blue-toned skin. For website colors, it is perfect for construction and hardware stores. Pair it with white and charcoal gray.']"
Persian,#CA3433,"(202, 52, 51)","(0, 74, 75, 21)","['This is a true red shade without any blue or yellow undertones. It is a medium to light-toned color, and it pairs well with cool, chocolate brown and pale tan. It will appear as a cooler shade when paired with purples and other blue tones. When paired with black, use black sparingly.']"
Hibiscus,#B43757,"(180, 55, 87)","(0, 69, 52, 29)","['This is a cool-toned, purple-red shade with many blue undertones. It evokes lilacs, lavender, skin-care products, and lipstick colors. Pair with a medium gray or with a cool-toned, light tan.']"
U.S. Flag,#BF0A30,"(191, 10, 48)","(0, 95, 75, 25)","['This is a warm-toned rose red. It has both blue and yellow undertones, so it should be paired with warm, light browns or used to complement cool-toned grays. Because of the additional yellow undertones, this would be appropriate for use with men’s products.']"
Ferrari,#FF2800,"(255, 40, 0)","(0, 84, 100, 0)","['This is a bright, warm, fire-engine red shade. It is the same color you might find on a sexy orange-red sports car, hence the vivacious name. Combine this red with black or pale, cool blue or turquoise.']"
Sangria,#5E1914,"(94, 25, 20)","(0, 73, 79, 63)","['This is a cool, reddish-brown with plenty of blue undertones. These undertones make this color a decorator’s dream. It can be paired with any true brown or complemented with pure white and navy blue. However you use it, the red will show through.']"
Mahogany,#420D09,"(66, 13, 9)","(0, 80, 86, 74)","['This is a warm, dark brown with reddish hues all throughout. You should only pair this color with a cool-toned medium tan or with other warm colors. The chocolate hue is very attractive and is a good background color for both websites and rooms of a house.']"
Burgundy,#8D021F,"(141, 2, 31)","(0, 99, 78, 45)","['This rich, deep red hue has many blue undertones and makes a perfect rose red. This color is vibrant and rich enough to stand all by itself. Pair it with charcoal gray and pure white. Keep the colors around it cool-toned, unless you want to blend it with oranges and warm browns for an autumnal color scheme.']"
Crimson,#B80F0A,"(184, 15, 10)","(0, 92, 95, 28)","['This is a lovely brick red with brown undertones. The brown supports the earthy brick feel of this color. This would be a suitable color for an interior decorator’s site, particularly when paired with a cool, light tan, white, and a cool, chocolate brown.']"
Rust,#933A16,"(147, 58, 22)","(0, 61, 85, 42)",['This is a warm light brown color with yellow undertones. The red shading will really pop out if you pair this color with forest green.']
Red,#FF0000,"(255, 0, 0)","(0, 100, 100, 0)","['This is a true red, your basic, undifferentiated red color. Like other true colors, it appears warm when paired with warm colors and cooler when paired with cool colors. As you can see in the coding below, this is your truest shade of red.']"
Dark Red,#8B0000,"(139, 0, 0)","(0, 100, 100, 45)","['This is a dark version of true red. Because it doesn’t have any blue or yellow undertones, you can pair it with both warm and cool colors. It will take on the features of either color tone. This shade is particularly attractive with Indian Red (above) and Pale Violet Red (below).']"
Orange Red,#FF4500,"(255, 69, 0)","(0, 73, 100, 0)","['This is a basic blending of red and orange. Because it is so bright, it should only be used as a single accent color. Use it as an accent color paired with a neutral main color and a neutral accent color. It is easily overpowering, so you should only use it sparingly.']"
Brick,#7E2811,"(126, 40, 17)","(0, 68, 87, 51)","['Here is a fresh brick, straight from the manufacturing line. It’s slightly darker and has a little more brown in it than the Vermilion shade.']"
Prismatic Red,#D03D33,"(208, 61, 51)","(0, 71, 75, 18)","['This is an interesting shade of true red that lies between light red and true, bright red. It does not have any yellow or blue to tint it, so it works well as a monochromatic hue. Use this red for basic, informational sites.']"
Prismatic Legacy,#BA1607,"(186, 22, 7)","(0, 88, 96, 27)","['This is close to a bright, true red. However, it has a slight orange undertone. This gives it a warm, tomato color. It is a good construction or masculine color.']"
Prismatic Vermilion Renewal,#CA0123,"(202, 1, 35)","(0, 100, 83, 21)","['This red shade is very similar to true red. However, it has some blue undertones. This gives it a nice, cool shade. Often, when people think of the ideal red, this is the shade they have in mind.']"
Prismatic Reflection’s Shade,#FF3C28,"(255, 60, 40)","(0, 76, 84, 0)",['This shade comes across as almost orange. The hue is between true and light red. The undertones are definitely yellow. The overall feel is old-fashioned warmth. Use this shade to depict nostalgia and old farmhouses.']
49ers Red,#AA0000,"(170, 0, 0)","(0, 100, 100, 33)","['The San Francisco 49ers are a California-based NFL team that take their name from the 1849 gold rush that drew so many American settlers to what is now California. Their official team colors are red and white, with the red taking on a bright, idealistic hue to match its history.']"
Cardinals Red,#BD2031,"(189, 32, 49)","(0, 83, 74, 26)","['Another professional American football team, the Arizona Cardinals were originally from Chicago. They’re named after the small red and black North American bird, so it should come as no surprise that their colors mimic the plumage of that animal, right down to the striking red, black, and white uniform designs.']"
Ajax Red,#D2122E,"(210, 18, 46)","(0, 91, 78, 18)","['The Amsterdamsche Football Club Ajax is often considered one of the most successful football clubs in the Netherlands. Named after the Greek hero who fought in the Trojan War, the club’s official colors include red, white, blue, and black. The home uniforms feature details in a bright, dynamic red color.']"
Alabama Crimson,#9E1B32,"(158, 27, 50)","(0, 83, 68, 38)","['Established back in 1820, the University of Alabama is the oldest university in the state, and its various athletic departments are hailed across the country as “The Crimson Tide”. As the name might suggest, Alabama’s main color is the distinctive crimson shade that heralds the university’s arrival to each event.']"
Alizarin Crimson,#E32636,"(227, 38, 54)","(0, 83, 76, 11)","['Alizarin Crimson is named after the alizarin dye that derives from the madder plant. Throughout history, this same dye has been used to make red and purple fabrics. The British “redcoat” soldiers were renowned for wearing red uniform jackets that were dyed with the same compound that makes Alizarin Crimson.']"
Amaranth Red,#F4364C,"(244, 54, 76)","(0, 78, 69, 4)","['Amaranth blossoms are small, jewel-red blooms that are sometimes known by the far less flattering name of “pigweed”. The seeds of the amaranth plant can be roasted and mixed into candy, but the flowers are what gives Amaranth Red its name, based on the similarity in color between the two.']"
Angels Red,#BA0021,"(186, 0, 33)","(0, 100, 82, 27)","['The Los Angeles Angels are a professional baseball team with their home field in Anaheim, California. Originally founded in 1892, the team’s colors include a bright, iconic red, navy blue, and silver, all of which were popular color choices for teams in the late 1800s and feature on many uniforms.']"
Arsenal Red,#DB0007,"(219, 0, 7)","(0, 100, 97, 14)","['One of the most well-known football clubs in the United Kingdom, Arsenal Football Club was founded in 1886 and has remained a beloved part of British culture ever since. Its official colors include white, blue, and Arsenal Red, a bold, dramatic shade prominently seen on their home and away uniforms.']"
Auburn Red,#A52A2A,"(165, 42, 42)","(0, 75, 75, 35)","['Auburn is a dark reddish-brown color that is most often used for one very specific purpose: describing hair. If your hair’s a little darker than traditional red hair or has a deeper undertone to it, you’ve probably got what authors in the late 1800s would have praised as “auburn locks”.']"
BU Scarlet,#CC0000,"(204, 0, 0)","(0, 100, 100, 20)","['Boston University was founded in 1869, although its school charter dates back even further to 1839. They’re known as “the Terriers” in most athletic circles, and the colors worn proudly by the Boston Terriers include pure white and a bright scarlet red that have been staples of BU culture for centuries.']"
Bills Red,#C60C30,"(198, 12, 48)","(0, 94, 76, 22)","['Another professional football team, the Buffalo Bills are an NFL team from Buffalo, New York. They’re a relatively new team, only starting professional play in 1960, but they’ve quickly established themselves as a force to be reckoned with. Their team colors include navy blue, royal blue, white, and Bills Red.']"
Bittersweet Shimmer Red,#BF4F51,"(191, 79, 81)","(0, 59, 58, 25)","['Bittersweet Shimmer Red is a bright shade of red. The “sweet” part of its name comes from the clarity of its jewel-red hues, while the “bitter” part stems from the slightly darker undertones that pull it away from true red. The “shimmer” comes from the resulting combination of red-blue tones.']"
Blood Red,#660000,"(102, 0, 0)","(0, 100, 100, 60)","['Blood Red is every bit as deep and dark as the name might suggest. Even if your veins look purple or blue beneath the skin, the blood that flows through them is every bit as rich and red as this particular shade appears on paper or on the screen.']"
CG Red,#E03C31,"(224, 60, 49)","(0, 73, 78, 12)","['CG Red is one of the official colors of the United States Coast Guard, technically formed when the US Coast Guard was officially merged with a few other services in 1915. Since then, CG Red has served as a variation on the colors of the American flag and a symbol of service and bravery.']"
Cadmium Red,#E30022,"(227, 0, 34)","(0, 100, 85, 11)","['Cadmium Red could technically be any number of pigments that contain the element cadmium in them. For the most part, however, when we say “Cadmium Red”, we’re thinking of this specific color: a bright red hue with some subtle orange or yellow undertones running beneath the bold red top shades.']"
Cardinal Red,#C41E3A,"(196, 30, 58)","(0, 85, 70, 23)","['No matter where you live, you’ve probably seen pictures of Cardinal birds, hopping around in the snow or perched on branches to lend a splash of color to the local scenery. Cardinal Red draws its name from the bright hues of that bird’s distinctive plumage.']"
Carnelian Red,#B31B1B,"(179, 27, 27)","(0, 85, 85, 30)","['Carnelians are bright, reddish-orange semiprecious minerals that are found throughout Indonesia, Brazil, India, Russia, and Germany. Carnelian Red is very obviously named after these gemstones, as it bears the same cheerful reddish colors with strong notes of red and yellow running beneath to lighten the overall shade to something sharper.']"
Cerise Red,#DE3163,"(222, 49, 99)","(0, 78, 55, 13)","['Cerise comes from the French word for cherry and dates back to the late 1850s as a color word. Even though the pure color looks a lot closer to the color of an actual cherry, Cerise Red often loses some of its intensity during the application process and ends up looking more pink.']"
Chiefs Red,#E31837,"(227, 24, 55)","(0, 89, 76, 11)","['Although they were originally the Dallas Texans when they were first founded in 1960, today they’re the Kansas City Chiefs, named after then-mayor Harold Roe Bartley, nicknamed “Chief”. Their team colors are gold, white, and Chiefs Red, a bright and vivid color that decks out their uniforms and helmets alike.']"
Chocolate Cosmos Red,#58111A,"(88, 17, 26)","(0, 81, 70, 65)","['Chocolate Cosmos blossoms are actually part of the sunflower family. Native to Mexico, these deep red, almost brown flowers are the inspiration behind Chocolate Cosmos Red’s name, as the color itself is only a little bit darker than the flowers that grow in the wild throughout Mexico’s many temperate zones.']"
Cincinnati Red,#C6011F,"(198, 1, 31)","(0, 99, 84, 22)","['Based in Cincinnati, the Cincinnati Reds are a professional baseball team that’s been around since 1881. They may have been more famous in decades past than they are today, but their trademark red, black, and white uniforms have remained the same throughout history down to the present day.']"
Cinnabar Red,#E44D2E,"(228, 77, 46)","(0, 66, 80, 11)","['Cinnabar is a solid form of mercury sulfide. Prior to the rise of industrialization, it was the most common source for mercury ore, and the reddish brown stone was highly valued by the ancient Romans for the volatile metal it held within. Cinnabar red is reddish-brown, almost orange.']"
Coke Red,#F40009,"(244, 0, 9)","(0, 100, 96, 4)","['The Coca-Cola Company, for better or for worse, has left a permanent mark on the world as we know it. No matter where you go, it’s nearly impossible to avoid seeing advertisements for Coke products, accompanied as always by the distinctive cheerful red of Coca-Cola’s logo.']"
Coquelicot Red,#FF3800,"(255, 56, 0)","(0, 78, 100, 0)","['Coquelicot is a bright orangish red. It takes its name from the French word', 'coquelicot', ',\xa0which was a common vernacular word used to describe the wild poppies that often bore the same color. Monet liked to use Coquelicot Red in his paintings of poppies and other wildflower landscapes.']"
Cordovan Red,#893F45,"(137, 63, 69)","(0, 54, 50, 46)","['Cordovan Red is a rich red color that’s somewhere between rosewood and a dark brown. The color is named after the city of Córdoba in Spain, which is where skilled craftsmen were renowned for producing a luxurious supply of leather tinted to the shade we now know as Cordovan Red.']"
Crayola Red,#EE204D,"(238, 32, 77)","(0, 87, 68, 7)","['Obviously Crayola offers a wide range of red colors inside each and every box of crayons. However, Crayola Red is the name officially given to the bright, child-like hue that was specifically developed by Crayola in order to be used for all of the company’s “true red” crayons going forward.']"
Electric Crimson,#FF003F,"(255, 0, 63)","(0, 100, 75, 0)","['Electric Crimson is technically the same shade as regular or “true” crimson, but with a little bit of an added kick. By adding just enough blue to sharpen up the edges of the original crimson color, Electric Crimson provides a pop of energy and vivacity to a slightly gloomier shade.']"
English Red,#AB4B52,"(171, 75, 82)","(0, 56, 52, 33)","['English Red is a classic oil shade that has long been used by painters and interior decorators alike. It has a slight rust color to it and is a few shades darker than traditional red, but it’s still bright enough to lend a sense of comfort and cheer to any setting.']"
Falcons Red,#A71930,"(167, 25, 48)","(0, 85, 71, 35)","['Based in Atlanta, Georgia, the Falcons are a professional American football team that was founded in 1966 after a few false starts. Their team colors are black, red, silver, and white, although their specific shade of Falcons Red is deep and dark, closer to crimson than to true red.']"
Falu Red,#801818,"(128, 24, 24)","(0, 81, 81, 50)","['If you’ve ever looked at a barn door and thought that surely you must be looking at the color Barn Red, you’ve been mistaken. Falu Red is a specific pigment used in red paint, and it is almost always the specific shade of red used for barns and sheds alike.']"
Fire Engine Red,#CE2029,"(206, 32, 41)","(0, 84, 80, 19)","['The exact shade of red used for the fire engines in your hometown may not be the same across the nation. However, most fire engines are painted some variation on Fire Engine Red in order to give other cars or vehicles a clear warning to get out of the way.']"
Flame Red,#E25822,"(226, 88, 34)","(0, 61, 85, 11)","['If you’ve ever sat around a campfire late at night, you know that flames can come in a wide range of colors. Nevertheless, Flame Red is a bright, warm shade of red that hearkens back to the heat and the energy contained within the dancing flames of a roaring fire.']"
Folly Red,#FF004F,"(255, 0, 79)","(0, 100, 69, 0)","['Folly Red is a cheerful shade of red that looks a little bit orange despite not having very much yellow tint to it at all. It has actually got more blue in it than the average shade of red does, and the end result is slightly lighter and sweeter than usual.']"
French Puce Red,#4E1609,"(78, 22, 9)","(0, 72, 88, 69)","['Despite its fancy-sounding name, French Puce Red gets its marker from a pretty gross source.', 'Puce', 'is the French word for', 'flea', ', and the dark, purplish-brownish red color is supposed to be the same color as dried blood on linen bedsheets or a smashed flea.']"
Fuchsia,#FF00FF,"(255, 0, 255)","(0, 100, 0, 0)","['Fuchsia is a bright purple red color that takes its name from the flowers of the fuchsia plant, which in turn was named after a 16th century botanist named Leonhart Fuchs. It was a popular dye choice throughout the 1800s and still remains a very popular paint color today.']"
Fuzzy Wuzzy Red,#CC6666,"(204, 102, 102)","(0, 50, 50, 20)","['Fuzzy Wuzzy Red is a soft, warm-feeling shade of red that’s a little bit lighter than traditional red. It also has equal amounts of blue and green, so the end result is a rounded-out shade that feels a little more muted than just a plain shade of red would appear.']"
Garnet Red,#733635,"(115, 54, 53)","(0, 53, 54, 55)","['Garnets are the birthstone for the month of July and were said to be the favorite jewels of Martha Washington, George Washington’s wife. Regardless of your own birthday, it doesn’t take a special date of birth in order to appreciate the deep red, almost maroon hues found within Garnet Red.']"
Harvard Crimson,#A51C30,"(165, 28, 48)","(0, 83, 71, 35)","['Harvard University is one of the most famous institutes of higher learning in the United States, so it should come as no surprise that their school colors are nearly as well-known. More specifically, their school', 'color', ',\xa0as Harvard Crimson is the only official color recognized by the university.']"
Hollywood Cerise Red,#F400A1,"(244, 0, 161)","(0, 100, 34, 4)","['We’ve already discussed “regular” Cerise Red and how it can often come across as looking more pink than true red. Hollywood Cerise Red dials up that pink undertone for a vivacious, flirtatious pinkish-red hue that puts the viewer in mind of dazzling lights and close encounters with famous celebrities.']"
Husker Red,#E41C38,"(228, 28, 56)","(0, 88, 75, 11)","['The University of Nebraska has several locations within the state, but their Lincoln campus is home to the Huskers, which is the name given to the athletic division at the university. Their official colors are cream, black, and Husker Red, which is a sharp and vibrant color that really stands out.']"
Japanese Carmine,#9D2933,"(157, 41, 51)","(0, 74, 68, 38)","['As a color, carmine is believed to have derived from the Persian word for', 'worm', 'or', 'insect', ',\xa0as carmine or cochineal red comes from a special compound found in the bodies and eggs of certain types of insects that were highly valued in the ancient world. Japanese Carmine is a little bit darker than traditional carmine, but it still carries that rich reddish-brown hue that was so beloved by the ancient Persians, Greeks, and Romans.']"
Jasper Red,#D73B3E,"(215, 59, 62)","(0, 73, 71, 16)","['Like carnelian, jasper stones are variations on the semiprecious chalcedony stone. Jasper stones are typically considered “impure”, as they often have visible bands of iron ore or other compounds running throughout them. Nevertheless, they are highly valued for their vibrant hues and can come in green, red, or green with red spots. Jasper Red is named after the bright orange-y red color that Jasper sometimes displays.']"
Jelly Bean Red,#DA614E,"(218, 97, 78)","(0, 56, 64, 15)","['For most of us, when we think of jelly beans, we think of a candy that comes in a lot of different colors. However, Jelly Bean Red refers specifically to the bright, almost candy-apple color that’s usually found in any mixed bag of jelly beans. Jelly beans have been around since the early 1900s, and they don’t seem to be going away any time soon.']"
Kenyan Copper Red,#7C1C05,"(124, 28, 5)","(0, 77, 96, 51)","['Kenyan Copper Red is a rich reddish-brown color that is supposed to remind the viewer of the sun-baked earth, the vivid sunset, or the bright sheen of burnished copper. Like some of the other colors on this list, Kenyan Copper Red is a popular lipstick color, although it is also a fairly popular choice when it comes to interior decoration, architecture, and overall aspects of design.']"
Lava Red,#CF1020,"(207, 16, 32)","(0, 92, 85, 19)","['If you’ve ever looked at a picture of burning hot magma sliding down the side of a volcano and admired its color, you’re not alone. Although actually touching the lava may not be the best idea, you can capture some of the warmth and vibrancy of the shade with Lava Red. Lava Red is a bright, burning hot shade of red that carries all of the fascination without any of the danger.']"
Liverpool Red,#C8102E,"(200, 16, 46)","(0, 92, 77, 22)","['Liverpool Football Club is one of the most valuable football clubs in the world, with a net value of around 2.18 billion dollars. Originally founded in 1892, Liverpool’s home colors are a bright Liverpool Red, even if they don greenish blue uniforms for their away games.']"
Lust Red,#E62020,"(230, 32, 32)","(0, 86, 86, 10)","['Lust Red is a bright color that’s meant to capture some of the passion, excitement, and intrigue of a brand new relationship. As befits the name, it’s also an extremely popular color for many different brands of women’s lipsticks, although it can be seen in several prominent works of art and architecture as well.']"
MIT Red,#A31F34,"(163, 31, 52)","(0, 81, 68, 36)","['MIT, or the Massachusetts Institute of Technology, is a widely influential university that has produced', 'ninety-seven', 'Nobel laureates since the awards were first established. Their colors are MIT Red and gray, officially known as “cardinal red” and “silver gray”, although they aren’t true crimson or silver.']"
Madder Red,#A50021,"(165, 0, 33)","(0, 100, 80, 35)","['Madder Red is the name given to pigments that come from the Rubia or', 'madder', 'plant. Although there are multiple strains of madder plant, the', 'Rubia tinctorum', 'species was treasured by ancient and early modern civilizations alike for the deep red cloth that its dye produced.']"
Pigment Magenta,#FF0090,"(255, 0, 144)","(0, 100, 44, 0)","['There are actually several different definitions of Magenta, but most sources seem to agree that the color falls somewhere between purple and pink and true red. The', 'screen', 'color Magenta is identical to Fuchsia, but traditional pigment Magenta tends to have a darker and less vivid shade to it.']"
Manchester United Red,#DA291C,"(218, 41, 28)","(0, 81, 87, 15)","['Manchester United Football Club is the highest-earning, most-decorated, and arguably most well-known football club in the UK. Since 1878, their home colors have been red and white, with the specific Manchester United Red decorating their shirts and serving as an accent color along their shorts as they take the field.']"
Medium Violet Red,#C71585,"(199, 21, 133)","(0, 89, 33, 22)","['Medium Violet Red is yet another great example of why violet flowers are a lot closer to purple than they are', 'blue', ',\xa0no matter what the poets would have you believe. Medium Violet Red is a pale purplish red color with a few notes of cool blue throughout.']"
Munsell Red,#F2003C,"(242, 0, 60)","(0, 100, 75, 5)","['The Munsell color system is an outdated method of organizing and labeling colors. Professor Albert H. Munsell, who gave this system its name, is still honored in the naming convention of several primary colors. Even if his work is no longer in use, he laid the foundation for today’s color organization.']"
NCS Red,#C40233,"(196, 2, 51)","(0, 99, 74, 23)","['North Carolina State University was founded in 1887 and is home to more than 35,000 students today. Their colors are red and white, although “the Wolfpack”, as their athletic teams are often known, tend to favor the bold, bright color of NCS Red when they’re out on the field.']"
Nationals Red,#AB0003,"(171, 0, 3)","(0, 100, 98, 33)","['The Washington Nationals are a baseball team from Washington, DC that was technically founded in the late 1800s, although they got off to a few false starts. Their team colors of red, white, and blue are only to be expected seeing as how they hail from the nation’s capitol city.']"
Oklahoma Crimson,#841617,"(132, 22, 23)","(0, 83, 83, 48)","['The University of Oklahoma was founded in 1890 in what is now the state of Oklahoma, which means that it was an established university before Oklahoma was a state. Nicknamed “the Sooners”, OU’s athletics department typically wears either cream or crimson, which is where Oklahoma Crimson gets its name.']"
Oxblood Red,#800020,"(128, 0, 32)","(0, 100, 75, 50)","['Oxblood Red is an extremely dark shade of reddish-brown or red that is sometimes referred to as “Temptress Red”. It’s often used in fashion and architecture alike, with shoes in particular coming in many shades of deep red and brown, including the increasingly trendy and desirable shade of Oxblood Red.']"
Pastel Red,#FF6961,"(255, 105, 97)","(0, 59, 62, 0)","['While we tend to think of pastel colors as being more along the lines of pastel pinks, blues, yellows, and greens,', 'pastel', 'technically refers to any color with high value and low saturation. As a result, Pastel Red is basically true red, but with a much lower saturation.']"
Penn Red,#990000,"(153, 0, 0)","(0, 100, 100, 40)","['The University of Pennsylvania was founded in 1740, which means it’s one of only nine colleges in the US that existed before the United States became a country. Their school colors include Penn Blue and Penn Red, both of which are darker, more muted takes on the traditional color shades.']"
Persian Rose Red,#FE28A2,"(254, 40, 162)","(0, 84, 36, 0)","['We’ve seen American Rose Red and a few other variations on the same theme, but now it’s time for Persian Rose Red. Persian Rose Red is significantly lighter than most other rose reds, resulting in a soft, almost pink shade of red that seems warmer, gentler, and far less insistent.']"
Phillies Red,#E81828,"(232, 24, 40)","(0, 90, 83, 9)","['The Philadelphia Phillies are an American baseball team based in (you guessed it) Philadelphia. Because they hail from the birthplace of the nation, their team colors are about as patriotic as you can get, including white, blue, and the bright shade of red known as Phillies Red by devoted fans.']"
Pigment Red,#ED1C24,"(237, 28, 36)","(0, 88, 85, 7)","['Pigment Red usually refers to the specific tone of red created by pure red pigments. However, since there’s no such thing as one single “red” color, the actual shade of red pigments can vary widely across different products. As a result, Pigment Red is sort of a combination of all those shades into one bright finished product.']"
Pinterest Red,#E60023,"(230, 0, 35)","(0, 100, 85, 10)","['The image-sharing site Pinterest has grown in size and popularity over the years, but one thing has remained more or less constant since it was founded: the gentle, slightly muted red tones of its logo. By dimming the color just a little, Pinterest keeps its logo from seeming too abrasive.']"
Popstar Red,#BE4F62,"(190, 79, 98)","(0, 58, 48, 25)","['Popstar Red is a bold, vivacious shade of red that straddles the line between pink, red, and orange. It’s a youthful, energetic color that doesn’t take itself seriously enough to be Rockstar Red, but it’s still got more than enough fun and excitement to make up for its relative inexperience.']"
Prune Red,#701C1C,"(112, 28, 28)","(0, 75, 75, 56)","['Anyone who’s ever eaten a prune knows that those dried fruits are more purple than they are true red. It should come as no surprise, therefore, that Prune Red is a deep, rich color with strong blue and purple undertones that nevertheless allows the red notes to keep shining through.']"
Red Devil,#860111,"(134, 1, 17)","(0, 99, 87, 47)",['Not everything associated with the color red is a good thing. Red Devil is a blisteringly hot shade of red that summons up mental images of the little cartoon devils that have become so commonplace in popular culture. The strong tones lend a sense of danger to this hue.']
Red Sox,#BD3039,"(189, 48, 57)","(0, 75, 70, 26)","['The Boston Red Sox were founded in 1901 and have long been one of the most well-known and beloved American baseball teams in the league. Their colors include white, navy blue, and Red Sox red, a bright, eye-catching color that helps them stand out both on the pitch and in the American imagination.']"
Rose Red,#C21E56,"(194, 30, 86)","(0, 85, 56, 24)","['Red roses have been symbols of passion, desire, and love for literal centuries, as the ancient Greeks associated them with Aphrodite, the goddess of love and beauty. Over time, different colors of rose have become more or less popular, but red roses are an enduring sign of love and appreciation.']"
Rosewood Red,#65000B,"(101, 0, 11)","(0, 100, 89, 60)","['Rosewood actually refers to a group of woods that, when treated and processed, have a red color that ranges anywhere from light red to almost black in hue. Rosewood Red, on the other hand, is a deep red color with purple undertones that provides some of the rich luxury of true rose-colored wood.']"
Rufous Red,#A81C07,"(168, 28, 7)","(0, 83, 96, 34)","['Rufous is an outdated word that was used to describe all sorts of red objects. It appears in everything from medical texts to guides on animal spotting. Today, Rufous Red is often used when describing the feathers or skin of certain animals with a dark red colored appearance.']"
Russet Red,#80461B,"(128, 70, 27)","(0, 45, 79, 50)","['The use of the word', 'russet', 'to describe a color dates all the way back to 1562. Russet cloth was a specific type of cloth that had a reddish-brown or brownish-gray color to it, but today, we usually use Russet Red to refer to this dark, rich red.']"
Rusty Red,#DA2C43,"(218, 44, 67)","(0, 80, 69, 15)","['Rust forms when iron and oxygen react to some amount of liquid, usually either water or just moisture in the air. When this reaction occurs, the iron will start to develop a red-brown color that severely weakens the metal. Rust Red captures some of that aged, lived-in sense of color.']"
Sanguine Red,#BC3F4A,"(188, 63, 74)","(0, 66, 61, 26)","['In medieval science, a Sanguine temperament meant that the person in question had blood as the predominant “humor” or liquid inside of the body. As a result, they were believed to be cheerful, spontaneous, and impulsive. Sanguine Red derives its color from its resemblance to the color of dried blood.']"
Spanish Red,#E60026,"(230, 0, 38)","(0, 100, 83, 10)","['Spanish Red is a dark red that draws its deep, rich color from the hematite and iron deposits found in many parts of Spain. As a result, it’s a color that shows up in a lot of Spanish architecture, particularly in roof tiles or various interior decorations.']"
Tango Red,#E4717A,"(228, 113, 122)","(0, 50, 46, 11)","['Tango Red may appear closer to pink than true red at first glance. Nevertheless, the color captures some of the passion and excitement of the dance in order to create a lively, flirtatious color that mutes some of the red hues while still playing up all of the fun aspects.']"
Tawny Red,#CD5700,"(205, 87, 0)","(0, 58, 100, 20)","['“Tawny” is often defined as a warm or sandy color, usually veering more towards brown than towards true red, but Tawny Red takes that same warmth and the same bold yellow undertones to create a color that has a definite red tint about it and runs more red than gold.']"
Tea Rose Red,#F88379,"(248, 131, 121)","(0, 47, 51, 3)","['A tea rose is one of the most common hybrid roses anywhere in the world and usually comes in a wide range of colors. However, Tea Rose Red, with its soft, almost gentle red tones, hearkens back to the classic red roses that most of us picture in our heads.']"
Terracotta Red,#E2725B,"(226, 114, 91)","(0, 50, 60, 11)","['Terracotta pottery is made from a specific sort of clay found around the world, that takes on a light orange or very pale red color once it’s fired and allowed to cool. Terracotta Red, as a result, takes its name from this pottery color, which closely matches its own hue.']"
Tractor Red,#FD0E35,"(253, 14, 53)","(0, 94, 79, 1)","['These days, most tractors are more likely to be green or yellow than red. Nevertheless, Tractor Red is a bright, cheerful color that paints an almost idyllic image of life on some rural farm, full of fresh air, sunshine, and the sound of a tractor moving slowly through the fields.']"
